event_id,deficiency_domain,deficiency_subtype,subtype_redacted,application_type,product_name,sponsor,office,regulatory_pathway,crl_date,year,disclosure_status__publicly_rele,application_number,data_limitation
CRL_270,Clinical,Risk-Benefit,0,BLA,MOD-4023 injection,Pfizer Ireland Pharmaceuticals,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),1/21/2022,2022,Y,761184,0
CRL_270,CMC,Redacted,1,BLA,MOD-4023 injection,Pfizer Ireland Pharmaceuticals,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),1/21/2022,2022,Y,761184,0
CRL_271,CMC,Facility,0,BLA,"""concentrate of proteolytic enzymes enriched in bromelain” gel","MediWound, Ltd.",Immunology and Inflammation,351(a),6/25/2021,2021,Y,761192,0
CRL_271,CMC,Manufacturing Controls,0,BLA,"""concentrate of proteolytic enzymes enriched in bromelain” gel","MediWound, Ltd.",Immunology and Inflammation,351(a),6/25/2021,2021,Y,761192,0
CRL_271,CMC,Microbiology,0,BLA,"""concentrate of proteolytic enzymes enriched in bromelain” gel","MediWound, Ltd.",Immunology and Inflammation,351(a),6/25/2021,2021,Y,761192,0
CRL_271,CMC,Specifications,0,BLA,"""concentrate of proteolytic enzymes enriched in bromelain” gel","MediWound, Ltd.",Immunology and Inflammation,351(a),6/25/2021,2021,Y,761192,0
CRL_271,CMC,Stability,0,BLA,"""concentrate of proteolytic enzymes enriched in bromelain” gel","MediWound, Ltd.",Immunology and Inflammation,351(a),6/25/2021,2021,Y,761192,0
CRL_272,CMC,Facility,0,BLA,BAT1706,Bio-Thera Solutions Ltd.,Oncologic Diseases,351(k),11/19/2021,2021,Y,761198,0
CRL_272,CMC,Manufacturing Controls,0,BLA,BAT1706,Bio-Thera Solutions Ltd.,Oncologic Diseases,351(k),11/19/2021,2021,Y,761198,0
CRL_272,CMC,Microbiology,0,BLA,BAT1706,Bio-Thera Solutions Ltd.,Oncologic Diseases,351(k),11/19/2021,2021,Y,761198,0
CRL_272,Clinical,Pharmacology,0,BLA,BAT1706,Bio-Thera Solutions Ltd.,Oncologic Diseases,351(k),11/19/2021,2021,Y,761198,0
CRL_273,Regulatory,Administrative/Filing,0,BLA,"Rezvoglar (insulin glargine-aglr) injection, 3 mL (100 Units/mL)",Eli Lilly and Company,"Cardiology, Hematology, Endocrinology, and Nephrology",351(k),12/17/2021,2021,Y,761215,0
CRL_273,Regulatory,Labeling,0,BLA,"Rezvoglar (insulin glargine-aglr) injection, 3 mL (100 Units/mL)",Eli Lilly and Company,"Cardiology, Hematology, Endocrinology, and Nephrology",351(k),12/17/2021,2021,Y,761215,0
CRL_274,CMC,Facility,0,BLA,CT-P17,"Celltrion, Inc",Immunology and Inflammation,351(k),11/23/2022,2022,Y,761219,0
CRL_275,CMC,Facility,0,BLA,CT-P17,"Celltrion, Inc",Immunology and Inflammation,351(k),11/24/2021,2021,Y,761219,0
CRL_276,CMC,Facility,0,BLA,letibotulinumtoxinA injection,"Hugel, Inc",Immunology and Inflammation,351(a),4/12/2023,2023,Y,761225,0
CRL_277,CMC,Facility,0,BLA,letibotulinumtoxinA injection,"Hugel, Inc",Immunology and Inflammation,351(a),3/31/2022,2022,Y,761225,0
CRL_277,CMC,Microbiology,0,BLA,letibotulinumtoxinA injection,"Hugel, Inc",Immunology and Inflammation,351(a),3/31/2022,2022,Y,761225,0
CRL_277,CMC,Redacted,1,BLA,letibotulinumtoxinA injection,"Hugel, Inc",Immunology and Inflammation,351(a),3/31/2022,2022,Y,761225,0
CRL_278,CMC,Microbiology,0,BLA,(toripalimab-tpzi) injection,"Coherus BioSciences, Inc.",Oncologic Diseases,351(a),4/29/2022,2022,Y,761240,0
CRL_279,Clinical,Safety,0,BLA,Kisunla (LY3002813) injection,Eli Lilly and Company,Neuroscience,351(a),1/18/2023,2023,Y,761248,0
CRL_280,Clinical,Efficacy,0,BLA,AK105,"Akeso Biopharma Co., Ltd.",Oncologic Diseases,351(a),1/19/2024,2024,Y,761258,0
CRL_280,CMC,Manufacturing Controls,0,BLA,AK105,"Akeso Biopharma Co., Ltd.",Oncologic Diseases,351(a),1/19/2024,2024,Y,761258,0
CRL_280,CMC,Stability,0,BLA,AK105,"Akeso Biopharma Co., Ltd.",Oncologic Diseases,351(a),1/19/2024,2024,Y,761258,0
CRL_280,Regulatory,Redacted,1,BLA,AK105,"Akeso Biopharma Co., Ltd.",Oncologic Diseases,351(a),1/19/2024,2024,Y,761258,0
CRL_281,CMC,Facility,0,BLA,"MSB11456, single-dose prefilled syringe and single-dose prefilled autoinjector (162 mg/0.9 mL), and single-dose vials (80 mg/4 mL, 200 mg/10 mL, and 400 mg/20 mL)","Fresenius Kabi USA, LLC",Immunology and Inflammation,351(k),5/31/2023,2023,Y,761275,0
CRL_282,CMC,Facility,0,BLA,LY3074828 Injection,Eli Lilly and Company,Immunology and Inflammation,351(a),3/30/2023,2023,Y,761279,0
CRL_283,CMC,Facility,0,BLA,cosibelimab (CK-301),"Checkpoint Therapeutics, Incorporated",Oncologic Diseases,351(a),12/15/2023,2023,Y,761297,0
CRL_284,CMC,Facility,0,BLA,AVT02,"Alvotech USA, Inc",Immunology and Inflammation,351(k),6/28/2023,2023,Y,761299,0
CRL_284,Regulatory,Labeling,0,BLA,AVT02,"Alvotech USA, Inc",Immunology and Inflammation,351(k),6/28/2023,2023,Y,761299,0
CRL_285,CMC,Facility,0,BLA,AVT03,"Alvotech USA, Inc",Immunology and Inflammation,351(k),12/20/2022,2022,Y,761299,0
CRL_285,Regulatory,Labeling,0,BLA,AVT03,"Alvotech USA, Inc",Immunology and Inflammation,351(k),12/20/2022,2022,Y,761299,0
CRL_286,CMC,Facility,0,BLA,lebrikizumab injection,Eli Lilly and Company,Immunology and Inflammation,351(a),9/28/2023,2023,Y,761306,0
CRL_287,CMC,Facility,0,BLA,Lymphir (denileukin diftitox-cxdl) for injection,"Citius Pharmaceuticals, Inc.",Oncologic Diseases,351(a),7/28/2023,2023,Y,761312,0
CRL_287,CMC,Redacted,1,BLA,Lymphir (denileukin diftitox-cxdl) for injection,"Citius Pharmaceuticals, Inc.",Oncologic Diseases,351(a),7/28/2023,2023,Y,761312,0
CRL_288,CMC,Facility,0,BLA,NNC0172-2021 injection,Novo Nordisk,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),4/24/2023,2023,Y,761315,0
CRL_288,CMC,Manufacturing Controls,0,BLA,NNC0172-2021 injection,Novo Nordisk,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),4/24/2023,2023,Y,761315,0
CRL_288,Clinical,Pharmacology,0,BLA,NNC0172-2021 injection,Novo Nordisk,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),4/24/2023,2023,Y,761315,0
CRL_288,CMC,Specifications,0,BLA,NNC0172-2021 injection,Novo Nordisk,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),4/24/2023,2023,Y,761315,0
CRL_288,CMC,Specifications,0,BLA,NNC0172-2021 injection,Novo Nordisk,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),4/24/2023,2023,Y,761315,0
CRL_288,CMC,Stability,0,BLA,NNC0172-2021 injection,Novo Nordisk,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),4/24/2023,2023,Y,761315,0
CRL_289,CMC,Manufacturing Controls,0,BLA,CT-P43,"Celltrion, Inc",Immunology and Inflammation,351(k),9/30/2024,2024,Y,761338,0
CRL_289,CMC,Microbiology,0,BLA,CT-P43,"Celltrion, Inc",Immunology and Inflammation,351(k),9/30/2024,2024,Y,761338,0
CRL_289,CMC,Specifications,0,BLA,CT-P43,"Celltrion, Inc",Immunology and Inflammation,351(k),9/30/2024,2024,Y,761338,0
CRL_289,CMC,Stability,0,BLA,CT-P43,"Celltrion, Inc",Immunology and Inflammation,351(k),9/30/2024,2024,Y,761338,0
CRL_290,CMC,Facility,0,BLA,AVT04,"Alvotech USA, Inc",Immunology and Inflammation,351(k),10/11/2023,2023,Y,761343,0
CRL_291,CMC,Facility,0,BLA,Eylea HD (aflibercept) Injection,"Regeneron Pharmaceuticals, Inc.",Specialty Medicine,351(a),6/27/2023,2023,Y,761355,0
CRL_292,CMC,Facility,0,BLA,IMAB362,"Astellas Pharma US, Inc",Oncologic Diseases,351(a),1/4/2024,2024,Y,761365,0
CRL_293,CMC,Facility,0,BLA,CSL312 (garadacimab),CSL Behring LLC,Immunology and Inflammation,351(a),10/7/2024,2024,Y,761367,0
CRL_293,CMC,Microbiology,0,BLA,CSL312 (garadacimab),CSL Behring LLC,Immunology and Inflammation,351(a),10/7/2024,2024,Y,761367,0
CRL_293,CMC,Manufacturing Controls,0,BLA,CSL312 (garadacimab),CSL Behring LLC,Immunology and Inflammation,351(a),10/7/2024,2024,Y,761367,0
CRL_294,CMC,Facility,0,NDA,Risvan (risperidone ISM) intramuscular injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),7/27/2023,2023,Y,214835,0
CRL_294,Regulatory,Labeling,0,NDA,Risvan (risperidone ISM) intramuscular injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),7/27/2023,2023,Y,214835,0
CRL_295,Regulatory,Labeling,0,NDA,Risvan (risperidone ISM) intramuscular injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),7/15/2022,2022,Y,214835,0
CRL_295,Clinical,Human Factors,0,NDA,Risvan (risperidone ISM) intramuscular injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),7/15/2022,2022,Y,214835,0
CRL_295,CMC,Microbiology,0,NDA,Risvan (risperidone ISM) intramuscular injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),7/15/2022,2022,Y,214835,0
CRL_295,CMC,Facility,0,NDA,Risvan (risperidone ISM) intramuscular injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),7/15/2022,2022,Y,214835,0
CRL_295,CMC,Facility,0,NDA,Risvan (risperidone ISM) intramuscular injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),7/15/2022,2022,Y,214835,0
CRL_296,CMC,Facility,0,NDA,Risperidone extended-release injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),9/24/2021,2021,Y,214835,0
CRL_296,CMC,Microbiology,0,NDA,Risperidone extended-release injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),9/24/2021,2021,Y,214835,0
CRL_296,Clinical,Human Factors,0,NDA,Risperidone extended-release injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),9/24/2021,2021,Y,214835,0
CRL_296,Nonclinical,Insufficient Nonclinical Support,0,NDA,Risperidone extended-release injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),9/24/2021,2021,Y,214835,0
CRL_296,CMC,Specifications,0,NDA,Risperidone extended-release injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),9/24/2021,2021,Y,214835,0
CRL_296,CMC,Stability,0,NDA,Risperidone extended-release injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),9/24/2021,2021,Y,214835,0
CRL_296,CMC,Manufacturing Controls,0,NDA,Risperidone extended-release injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),9/24/2021,2021,Y,214835,0
CRL_296,CMC,Biopharmaceutics,0,NDA,Risperidone extended-release injectable suspension,"Laboratorios Farmacéuticos ROVI, S.A.",Neuroscience,505(b)(2),9/24/2021,2021,Y,214835,0
CRL_297,Clinical,Safety,0,NDA,Posimir (bupivacaine extended-release solution for instillaiton,DUREC corporation,Drug Evaluation 2,505(b)(2),2/12/2014,2014,Y,204803,0
CRL_298,CMC,Facility,0,NDA,Acetaminophen in the PAB container,B. Braun Medical,Neuroscience,505(b)(2),4/24/2020,2020,Y,204957,0
CRL_299,Nonclinical,Insufficient Nonclinical Support,0,NDA,Lutrate Depot (Leuprolide acetate for injection),ELC Group,Hematology & Oncology Products,505(b)(2),5/29/2015,2015,Y,205054,0
CRL_299,CMC,Manufacturing Controls,0,NDA,Lutrate Depot (Leuprolide acetate for injection),ELC Group,Hematology & Oncology Products,505(b)(2),5/29/2015,2015,Y,205054,0
CRL_299,CMC,Stability,0,NDA,Lutrate Depot (Leuprolide acetate for injection),ELC Group,Hematology & Oncology Products,505(b)(2),5/29/2015,2015,Y,205054,0
CRL_299,Regulatory,Administrative/Filing,0,NDA,Lutrate Depot (Leuprolide acetate for injection),ELC Group,Hematology & Oncology Products,505(b)(2),5/29/2015,2015,Y,205054,0
CRL_299,CMC,Facility,0,NDA,Lutrate Depot (Leuprolide acetate for injection),ELC Group,Hematology & Oncology Products,505(b)(2),5/29/2015,2015,Y,205054,0
CRL_300,CMC,Manufacturing Controls,0,NDA,RizaFilm (rizariptan) oral film,RedHill Biopharma Ltd.,Drug Evaluation 1,505(b)(2),1/31/2014,2014,Y,205394,0
CRL_300,Regulatory,Labeling,0,NDA,RizaFilm (rizariptan) oral film,RedHill Biopharma Ltd.,Drug Evaluation 1,505(b)(2),1/31/2014,2014,Y,205394,0
CRL_300,CMC,Facility,0,NDA,RizaFilm (rizariptan) oral film,RedHill Biopharma Ltd.,Drug Evaluation 1,505(b)(2),1/31/2014,2014,Y,205394,0
CRL_300,Patent Certifications,Patent,0,NDA,RizaFilm (rizariptan) oral film,RedHill Biopharma Ltd.,Drug Evaluation 1,505(b)(2),1/31/2014,2014,Y,205394,0
CRL_300,CMC,Specifications,0,NDA,RizaFilm (rizariptan) oral film,RedHill Biopharma Ltd.,Drug Evaluation 1,505(b)(2),1/31/2014,2014,Y,205394,0
CRL_300,CMC,Stability,0,NDA,RizaFilm (rizariptan) oral film,RedHill Biopharma Ltd.,Drug Evaluation 1,505(b)(2),1/31/2014,2014,Y,205394,0
CRL_300,Regulatory,Administrative/Filing,0,NDA,RizaFilm (rizariptan) oral film,RedHill Biopharma Ltd.,Drug Evaluation 1,505(b)(2),1/31/2014,2014,Y,205394,0
CRL_301,Clinical,Human Factors,0,NDA,Primatene Mist (epinephrine inhalation aerosol),"Armstrong Pharmaceuticals, Inc.",Drug Evaluation 4,505(b)(2),12/23/2016,2016,Y,205920,0
CRL_302,Clinical,Risk-Benefit,0,NDA,Testosterone undecanoate (oral) [Jatenzo],"Clarus Therapeutics, Inc.",Drug Evaluation 3,505(b)(2),3/22/2018,2018,Y,206089,0
CRL_302,Clinical,Pharmacology,0,NDA,Testosterone undecanoate (oral) [Jatenzo],"Clarus Therapeutics, Inc.",Drug Evaluation 3,505(b)(2),3/22/2018,2018,Y,206089,0
CRL_302,Nonclinical,Insufficient Nonclinical Support,0,NDA,Testosterone undecanoate (oral) [Jatenzo],"Clarus Therapeutics, Inc.",Drug Evaluation 3,505(b)(2),3/22/2018,2018,Y,206089,0
CRL_303,CMC,Facility,0,NDA,Xelpros (latanoprost ophthalmic emulsion),Sun Pharma Advanced Research Company Ltd.,Antimicrobial Products,505(b)(2),12/19/2016,2016,Y,206185,0
CRL_304,CMC,Facility,0,NDA,Xelpros (latanoprost ophthalmic emulsion),Sun Pharma Advanced Research Company Ltd.,Antimicrobial Products,505(b)(2),11/24/2014,2014,Y,206185,0
CRL_304,Regulatory,Administrative/Filing,0,NDA,Xelpros (latanoprost ophthalmic emulsion),Sun Pharma Advanced Research Company Ltd.,Antimicrobial Products,505(b)(2),11/24/2014,2014,Y,206185,0
CRL_304,CMC,Specifications,0,NDA,Xelpros (latanoprost ophthalmic emulsion),Sun Pharma Advanced Research Company Ltd.,Antimicrobial Products,505(b)(2),11/24/2014,2014,Y,206185,0
