event_id,deficiency_domain,application_type,office,regulatory_pathway,year
CRL_263,CMC,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),2021
CRL_264,CMC,BLA,Immunology and Inflammation,351(a),2022
CRL_265,CMC,BLA,"Rare Diseases, Pediatrics, Urologic and Reproductive Medicine",351(a),2021
CRL_265,Regulatory,BLA,"Rare Diseases, Pediatrics, Urologic and Reproductive Medicine",351(a),2021
CRL_266,CMC,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),2020
CRL_266,Regulatory,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),2020
CRL_267,CMC,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),2021
CRL_267,Clinical,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),2021
CRL_268,CMC,BLA,Immunology and Inflammation,351(a),2021
CRL_269,CMC,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),2021
CRL_269,Clinical,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),2021
CRL_270,CMC,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),2022
CRL_270,Clinical,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),2022
CRL_271,CMC,BLA,Immunology and Inflammation,351(a),2021
CRL_272,CMC,BLA,Oncologic Diseases,351(k),2021
CRL_272,Clinical,BLA,Oncologic Diseases,351(k),2021
CRL_273,Regulatory,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(k),2021
CRL_274,CMC,BLA,Immunology and Inflammation,351(k),2022
CRL_275,CMC,BLA,Immunology and Inflammation,351(k),2021
CRL_276,CMC,BLA,Immunology and Inflammation,351(a),2023
CRL_277,CMC,BLA,Immunology and Inflammation,351(a),2022
CRL_278,CMC,BLA,Oncologic Diseases,351(a),2022
CRL_279,Clinical,BLA,Neuroscience,351(a),2023
CRL_280,CMC,BLA,Oncologic Diseases,351(a),2024
CRL_280,Clinical,BLA,Oncologic Diseases,351(a),2024
CRL_280,Regulatory,BLA,Oncologic Diseases,351(a),2024
CRL_281,CMC,BLA,Immunology and Inflammation,351(k),2023
CRL_282,CMC,BLA,Immunology and Inflammation,351(a),2023
CRL_283,CMC,BLA,Oncologic Diseases,351(a),2023
CRL_284,CMC,BLA,Immunology and Inflammation,351(k),2023
CRL_284,Regulatory,BLA,Immunology and Inflammation,351(k),2023
CRL_285,CMC,BLA,Immunology and Inflammation,351(k),2022
CRL_285,Regulatory,BLA,Immunology and Inflammation,351(k),2022
CRL_286,CMC,BLA,Immunology and Inflammation,351(a),2023
CRL_287,CMC,BLA,Oncologic Diseases,351(a),2023
CRL_288,CMC,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),2023
CRL_288,Clinical,BLA,"Cardiology, Hematology, Endocrinology, and Nephrology",351(a),2023
CRL_289,CMC,BLA,Immunology and Inflammation,351(k),2024
CRL_290,CMC,BLA,Immunology and Inflammation,351(k),2023
CRL_291,CMC,BLA,Specialty Medicine,351(a),2023
CRL_292,CMC,BLA,Oncologic Diseases,351(a),2024
CRL_293,CMC,BLA,Immunology and Inflammation,351(a),2024
CRL_294,CMC,NDA,Neuroscience,505(b)(2),2023
CRL_294,Regulatory,NDA,Neuroscience,505(b)(2),2023
CRL_295,CMC,NDA,Neuroscience,505(b)(2),2022
CRL_295,Clinical,NDA,Neuroscience,505(b)(2),2022
CRL_295,Regulatory,NDA,Neuroscience,505(b)(2),2022
CRL_296,CMC,NDA,Neuroscience,505(b)(2),2021
CRL_296,Clinical,NDA,Neuroscience,505(b)(2),2021
CRL_296,Nonclinical,NDA,Neuroscience,505(b)(2),2021
CRL_297,Clinical,NDA,Drug Evaluation 2,505(b)(2),2014
CRL_298,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_299,CMC,NDA,Hematology & Oncology Products,505(b)(2),2015
CRL_299,Nonclinical,NDA,Hematology & Oncology Products,505(b)(2),2015
CRL_299,Regulatory,NDA,Hematology & Oncology Products,505(b)(2),2015
CRL_300,CMC,NDA,Drug Evaluation 1,505(b)(2),2014
CRL_300,Patent Certifications,NDA,Drug Evaluation 1,505(b)(2),2014
CRL_300,Regulatory,NDA,Drug Evaluation 1,505(b)(2),2014
CRL_301,Clinical,NDA,Drug Evaluation 4,505(b)(2),2016
CRL_302,Clinical,NDA,Drug Evaluation 3,505(b)(2),2018
CRL_302,Nonclinical,NDA,Drug Evaluation 3,505(b)(2),2018
CRL_303,CMC,NDA,Antimicrobial Products,505(b)(2),2016
CRL_304,CMC,NDA,Antimicrobial Products,505(b)(2),2014
CRL_304,Regulatory,NDA,Antimicrobial Products,505(b)(2),2014
CRL_305,CMC,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_305,Patent Certifications,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_305,Regulatory,NDA,Drug Evaluation 2,505(b)(2),2019
CRL_306,CMC,NDA,Hematology & Oncology Products,505(b)(2),2016
CRL_307,CMC,NDA,Hematology & Oncology Products,505(b)(2),2014
CRL_308,CMC,NDA,Drug Evaluation 3,505(b),2016
CRL_309,CMC,NDA,Neuroscience,505(b)(2),2020
CRL_309,Nonclinical,NDA,Neuroscience,505(b)(2),2020
CRL_309,Regulatory,NDA,Neuroscience,505(b)(2),2020
CRL_310,CMC,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_310,Nonclinical,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_310,Patent Certifications,NDA,Drug Evaluation 2,505(b)(2),2018
CRL_311,CMC,NDA,Drug Evaluation 2,505(b)(2),2016
